algorithm,input,n,time_ms,comparisons,max_depth
MergeInsertion,random,1000,0.145,9525,8
QuickSort,random,1000,0.197417,16757,7
QuickSelect,random,1000,0.037709,5208,1
MergeInsertion,random,10000,1.670833,127339,11
QuickSort,random,10000,0.78275,279711,9
QuickSelect,random,10000,0.119708,59519,1
MergeInsertion,random,100000,6.353708,1639944,14
QuickSort,random,100000,7.128458,3112136,12
QuickSelect,random,100000,0.850083,692681,1
MergeInsertion,random,1000000,73.877333,19885932,18
QuickSort,random,1000000,81.646875,39139262,14
QuickSelect,random,1000000,7.739459,3912542,1
MergeInsertion,sorted,1000,0.008541,4196,8
QuickSort,sorted,1000,0.029667,17979,7
QuickSelect,sorted,1000,0.002875,3409,1
MergeInsertion,sorted,10000,0.120917,58704,11
QuickSort,sorted,10000,0.316125,257734,9
QuickSelect,sorted,10000,0.037875,61926,1
MergeInsertion,sorted,100000,1.546708,739600,14
QuickSort,sorted,100000,3.510417,3180609,11
QuickSelect,sorted,100000,0.26025,458416,1
MergeInsertion,sorted,1000000,19.054667,9035328,18
QuickSort,sorted,1000000,40.812584,41045277,14
QuickSelect,sorted,1000000,3.013041,4970168,1
MergeInsertion,duplicates,1000,0.025917,9183,8
QuickSort,duplicates,1000,0.011875,4882,4
QuickSelect,duplicates,1000,0.007958,2761,1
MergeInsertion,duplicates,10000,0.310041,121352,11
QuickSort,duplicates,10000,0.10225,51814,3
QuickSelect,duplicates,10000,0.088292,48820,1
MergeInsertion,duplicates,100000,3.084625,1561407,14
QuickSort,duplicates,100000,1.053334,529980,3
QuickSelect,duplicates,100000,0.842,370263,1
MergeInsertion,duplicates,1000000,35.672583,18922117,18
QuickSort,duplicates,1000000,9.983709,5800100,3
QuickSelect,duplicates,1000000,8.061,3499044,1
